Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-037,2000,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-281,2006,1.8,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-139,1997,9.1,12,9,9,3,0,7,10,70.0,3,7,6,1,3,15,33,0,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-238,1997,4.0,14,9,10,4,0,7,11,63.6,4,4,2,2,5,19,23,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-125,1996,23.1,46,35,32,13,1,30,49,61.2,19,22,7,15,29,75,72,1,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-249,2001,21.7,56,34,38,15,3,29,44,65.9,15,29,5,24,16,72,48,1,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26-299,1998,8.8,11,8,8,3,0,5,14,35.7,9,9,2,7,6,17,24,0,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-206,1995,19.0,15,10,8,4,3,7,12,58.3,5,11,8,3,7,22,55,3,Matches
12,Nathan Aké,nl NED,DF,Manchester City,29-358,1995,6.7,9,7,7,2,0,4,5,80.0,1,7,2,5,3,12,20,1,Matches
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-126,1998,19.3,51,38,30,13,8,32,69,46.4,37,22,7,15,25,76,36,2,Matches
20,Joachim Andersen,dk DEN,DF,Crystal Palace,28-255,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0,Matches
21,Joachim Andersen,dk DEN,DF,Fulham,28-255,1996,14.7,14,11,12,2,0,7,13,53.8,6,13,8,5,18,32,74,0,Matches
25,Antony,br BRA,"DF,MF",Manchester Utd,24-352,2000,1.6,6,3,4,2,0,2,5,40.0,3,2,0,2,2,8,0,0,Matches
26,Julian Araujo,mx MEX,DF,Bournemouth,23-181,2001,3.9,7,3,3,4,0,4,10,40.0,6,3,0,3,4,11,13,0,Matches
38,Benoît Badiashile,fr FRA,DF,Chelsea,23-321,2001,2.8,6,4,3,3,0,2,2,100.0,0,2,2,0,6,12,6,1,Matches
43,Calvin Bassey,ng NGA,DF,Fulham,25-041,1999,23.0,34,21,20,14,0,16,20,80.0,4,31,14,17,13,47,72,5,Matches
44,Jan Bednarek,pl POL,DF,Southampton,28-304,1996,19.8,24,12,14,10,0,10,23,43.5,13,33,27,6,40,64,119,4,Matches
49,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-056,2002,20.5,63,38,42,18,3,33,58,56.9,25,30,12,18,30,93,59,3,Matches
53,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-036,2004,3.9,12,6,6,5,1,9,14,64.3,5,3,1,2,1,13,7,0,Matches
54,Willy Boly,ci CIV,DF,Nott'ham Forest,34-007,1991,1.5,5,1,4,1,0,4,4,100.0,0,3,1,2,3,8,12,0,Matches
55,Sven Botman,nl NED,DF,Newcastle Utd,25-029,2000,2.5,5,3,2,3,0,2,3,66.7,1,2,1,1,4,9,12,0,Matches
57,Conor Bradley,nir NIR,DF,Liverpool,21-216,2003,2.9,4,2,1,2,1,4,11,36.4,7,2,0,2,3,7,14,0,Matches
58,Jarrad Branthwaite,eng ENG,DF,Everton,22-228,2002,14.1,23,12,18,5,0,11,14,78.6,3,15,10,5,16,39,80,2,Matches
59,James Bree,eng ENG,DF,Southampton,27-122,1997,7.4,14,9,5,8,1,6,14,42.9,8,8,3,5,6,20,21,0,Matches
