Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-066,1999.0,23,16,1530,17.0,0,3,3,0,0,0,6,0,1.6,1.6,0.8,2.4,12,61,7,0.0,0.18,0.18,0.0,0.18,0.09,0.05,0.14,0.09,0.14,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-209,1997.0,20,13,1229,13.7,1,1,2,1,0,0,3,0,0.9,0.9,0.2,1.1,5,37,1,0.07,0.07,0.15,0.07,0.15,0.07,0.02,0.08,0.07,0.08,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-110,2002.0,24,8,826,9.2,2,1,3,2,0,0,0,0,2.2,2.2,1.7,3.9,30,14,105,0.22,0.11,0.33,0.22,0.33,0.23,0.19,0.42,0.23,0.42,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-308,1997.0,11,11,960,10.7,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.3,2,20,0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-205,2005.0,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-195,1996.0,30,30,2569,28.5,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,54,91,52,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-319,2001.0,32,32,2699,30.0,4,6,10,4,0,0,7,1,2.3,2.3,4.4,6.7,70,96,150,0.13,0.2,0.33,0.13,0.33,0.08,0.15,0.22,0.08,0.22,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,27-004,1998.0,20,17,1388,15.4,0,0,0,0,0,0,4,0,0.8,0.8,1.2,2.1,27,52,42,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-276,1995.0,21,20,1710,19.0,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
12,Nathan Aké,nl NED,DF,Manchester City,30-062,1995.0,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-142,2002.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,22-142,2002.0,10,4,446,5.0,1,1,2,1,0,0,3,0,1.3,1.3,1.1,2.4,11,24,9,0.2,0.2,0.4,0.2,0.4,0.26,0.23,0.49,0.26,0.49,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-196,1998.0,29,26,2165,24.1,3,6,9,3,0,0,5,0,1.6,1.6,6.7,8.3,48,204,87,0.12,0.25,0.37,0.12,0.37,0.07,0.28,0.34,0.07,0.34,Matches
16,Alisson,br BRA,GK,Liverpool,32-201,1992.0,23,23,2058,22.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-070,1994.0,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.45,0.3,0.45,Matches
18,Edson Álvarez,mx MEX,MF,West Ham,27-179,1997.0,25,19,1633,18.1,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,21,75,18,0.0,0.06,0.06,0.0,0.06,0.02,0.04,0.06,0.02,0.06,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-077,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
20,Harry Amass,eng ENG,DF,Manchester Utd,18-036,2007.0,3,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,4,12,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,Matches
21,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-277,2006.0,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.07,0.22,0.29,0.07,0.29,Matches
22,Mathis Amougou,fr FRA,MF,Chelsea,19-093,2006.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
23,Joachim Andersen,dk DEN,DF,Crystal Palace,28-325,1996.0,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,28-325,1996.0,24,24,2133,23.7,0,0,0,0,0,0,5,1,0.5,0.5,0.3,0.8,13,100,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
25,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-166,2002.0,31,27,2227,24.7,1,6,7,1,0,0,6,0,1.6,1.6,3.1,4.7,36,112,77,0.04,0.24,0.28,0.04,0.28,0.07,0.12,0.19,0.07,0.19,Matches
